,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM.1,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,Alt_Star_name,HD_name,GAIA_ED3_Name
22,BD+60 1753,A1V,9.65,0.07,bd60d1753,_mod_005,_stiswfc_004,<0.17,17 24 52.275,+60 25 50.75,-27.3,4.89,3.76,,,BD+60  1753,,,1.435896975388228e+18
23,BD+17 4708,sdF8,9.47,0.44,bd_17d4708,,_stisnic_007,,22 11 31.375,+18 05 34.16,-291.0,506.37,60.49,,,BD+17  4708,,,1.7762892483131546e+18
24,BD+75 325,sdO5,9.55,-0.33,bd_75d325,,_stis_006,,08 10 49.490,+74 57 57.94,-50.0,7.17,10.3,,,BD+75   325,,,1.1355874976367327e+18
25,C26202,F8IV,16.64,0.26,c26202,_mod_006,_stiswfcnic_005,,03 32 32.843,-27 51 48.58,,,,2MASS J03323287-2751483,[B2010] C26202,UCAC3 125-8171,,,5.057499161282786e+18
26,DELTA UMI,A1V,4.34,0.03,delumi,_mod_004,_stis_004,0.04,17 32 12.997,+86 35 11.26,-7.6,10.17,53.97,HD166205,,* DEL UMI,,HD166205,1.7248511737884495e+18
27,ETA1 DOR,A0V,5.69,-0.01,eta1dor,_mod_004,_stis_004,0.18,06 06 09.382,-66 02 22.63,17.6,13.66,27.82,HD42525,,* ETA01 DOR,ETA DOR,HD42525,5.284258831636638e+18
28,ETA UMA,B3V,1.85,-0.10,etauma,_mod_004,_stis_007,,13 47 32.438,+49 18 47.76,-13.0,-121.17,-14.91,HD120315,,* ETA UMA,,HD120315,1.51037414784422e+18
29,FEIGE110,sdO,11.83,-0.30,feige110,,_stisnic_008,,23 19 58.400,-05 09 56.17,,-10.68,0.31,,,FEIGE 110,,,2.633603478379308e+18
30,FEIGE34,sdO,11.14,-0.23,feige34,,_stis_006,,10 39 36.738,+43 06 09.21,1.0,12.54,-25.41,WD1036+433,,FEIGE  34,,,7.811643267664047e+17
31,G191B2B,DA.8,11.781,-0.33,g191b2b,_mod_012,_stiswfcnic_004,<0.74,05 05 30.618,+52 49 51.92,22.1,12.7,-93.42,BD+52 913,EGGR 247 WD0501+527,BD+52   913,,,2.6607714529562752e+17
32,GD153,DA1.2,13.349,-0.29,gd153,_mod_012,_stiswfcnic_004,<2.44,12 57 02.322,+22 01 52.63,8.3,-38.4,-202.99,WD1254+223,,GD 153,,,3.944400490365194e+18
